TestHeaderID,Operation Name,StepID,Parameter Name,Value,Units,Min Limit,Max Limit
38204872,Glue Optic M402,None,START TIME,2023-07-19 20:41:15,,,
38204872,Glue Optic M402,None,END TIME,2023-07-19 20:49:20,,,
38204872,Glue Optic M402,None,OPERATOR,79366,,,
38204872,Glue Optic M402,None,STATION,350R6Z2,,,
38204872,Glue Optic M402,45835015,RX,0.9292,deg,-0.067,1.933
38204872,Glue Optic M402,45835015,RY,-0.9068,deg,-1.922,0.078
38204872,Glue Optic M402,45835015,RZ,133.1542,deg,130.706,134.706
38204872,Glue Optic M402,45835015,Y,106.3248,mm,103.303,109.303
38204872,Glue Optic M402,45835015,X,59.1715,mm,56.15,62.15
38204872,Glue Optic M402,45835015,Z,-1.19,mm,-2.12,-0.12
38204872,Glue Optic M402,45835021,ChartLabel,PD Power,None,None,None
38204872,Glue Optic M402,45835021,Delta Power,99.94385458344,%,None,None
38204872,Glue Optic M402,45835021,Xunit,Seconds,None,None,None
38204872,Glue Optic M402,45835021,Yunit,,None,None,None
38204872,Glue Optic M402,45835021,Xlabel,Time,None,None,None
38204872,Glue Optic M402,45835021,Ylabel,Power,None,None,None
38204872,Glue Optic M402,45835021,Max Value,13783.85,None,None,None
38204872,Glue Optic M402,45835021,ChartType,Line,None,None,None
38482867,Glue Optic L542,None,START TIME,2023-07-31 13:47:14,,,
38482867,Glue Optic L542,None,END TIME,2023-07-31 15:09:20,,,
38482867,Glue Optic L542,None,OPERATOR,66428,,,
38482867,Glue Optic L542,None,STATION,689R5Z1,,,
38482867,Glue Optic L542,46439062,Waist Width Y,1709.901388972,mm,None,None
38482867,Glue Optic L542,46439062,Waist Width X,1654.804616272,mm,None,None
38482867,Glue Optic L542,46439062,M2 Y,1.081980939835,None,None,None
38482867,Glue Optic L542,46439062,M2 X,1.058444212844,None,None,None
38482867,Glue Optic L542,46439062,Astigmatism,0.009340420304696,None,None,None
38482867,Glue Optic L542,46439062,Waist Location Y,-8555.071699068,mm,None,None
38482867,Glue Optic L542,46439062,Waist Location X,-8591.540496175,mm,None,None
38482867,Glue Optic L542,46439062,Asymmetry,1.033295032029,None,None,None
38482867,Glue Optic L542,46439063,Return Value,-1.75825,None,None,None
38482867,Glue Optic L542,46439064,Return Value,75.085,None,None,None
38482867,Glue Optic L542,46439065,Return Value,252.4365,None,None,None
38482867,Glue Optic L542,46439066,measured w_loc x,22.49717769857,None,None,None
38482867,Glue Optic L542,46439066,measured w_loc y,22.28032988503,None,None,None
38482867,Glue Optic L542,46439066,Jig_coord_new pitch,10.64896467045,None,None,None
38482867,Glue Optic L542,46439066,Jig_micro yaw,0,None,None,None
38482867,Glue Optic L542,46439066,Rob_coord_new yaw,-5,None,None,None
38482867,Glue Optic L542,46439066,Jig_coord y,95.8,None,None,None
38482867,Glue Optic L542,46439066,Jig_coord x,152.7,None,None,None
38482867,Glue Optic L542,46439066,measured M2 x,1.058444212844,None,None,None
38482867,Glue Optic L542,46439066,measured M2 y,1.081980939835,None,None,None
38482867,Glue Optic L542,46439066,target waist y,0.03644909243832,None,None,None
38482867,Glue Optic L542,46439066,target waist x,0.03605101427514,None,None,None
38482867,Glue Optic L542,46439066,Jig_micro_new trans,0,None,None,None
38482867,Glue Optic L542,46439066,Rob_coord x,225.4,None,None,None
38482867,Glue Optic L542,46439066,Rob_coord y,91.2,None,None,None
