TestHeaderID,Operation Name,StepID,Parameter Name,Value,Units,Min Limit,Max Limit
38570167,PB3 P2P Stability Test,None,START TIME,2023-08-04 05:19:34,,,
38570167,PB3 P2P Stability Test,None,END TIME,2023-08-04 05:38:33,,,
38570167,PB3 P2P Stability Test,None,OPERATOR,72280,,,
38570167,PB3 P2P Stability Test,None,STATION,356N6Z2,,,
38570167,PB3 P2P Stability Test,46602457,Date,06.15.2023,None,None,None
38570167,PB3 P2P Stability Test,46602457,Version,1.4.0,None,None,None
38565475,PB3 Final Log,None,START TIME,2023-08-04 00:55:30,,,
38565475,PB3 Final Log,None,END TIME,2023-08-04 02:07:53,,,
38565475,PB3 Final Log,None,OPERATOR,72280,,,
38565475,PB3 Final Log,None,STATION,356N6Z2,,,
38565475,PB3 Final Log,46593121,ReportText,(For),None,None,None
38697908,PB3 System Final Test,None,START TIME,2023-08-09 00:54:27,,,
38697908,PB3 System Final Test,None,END TIME,2023-08-09 01:22:42,,,
38697908,PB3 System Final Test,None,OPERATOR,85129,,,
38697908,PB3 System Final Test,None,STATION,356N6Z2,,,
38697908,PB3 System Final Test,46894862,Date,08.03.2023,None,None,None
38697908,PB3 System Final Test,46894862,Version,1.4.1.5,None,None,None
38570167,PB3 P2P Stability Test,46602458,ReportText,\\li.lumentuminc.net\data\pat\tds\Archive\202308\04\38570167\38570167_2.png,None,None,None
38565475,PB3 Final Log,46593113,Date,06.15.2023,None,None,None
38565475,PB3 Final Log,46593113,Version,1.4.0,None,None,None
38697908,PB3 System Final Test,46894863,DC5 Board serial number,,None,None,None
38697908,PB3 System Final Test,46894863,PT serial number,N31457,None,None,None
38697908,PB3 System Final Test,46894863,FW Revision,v1.7.3-324362e11,None,None,None
38697908,PB3 System Final Test,46894863,SPA serial number,N11469,None,None,None
38697908,PB3 System Final Test,46894863,NLO Board serial number,FW134M004-01        ,None,None,None
38697908,PB3 System Final Test,46894863,NLO serial number,1314910400005,None,None,None
38697908,PB3 System Final Test,46894863,S3P serial number,N21465,None,None,None
38697908,PB3 System Final Test,46894863,DC5 Revision,6,None,None,None
38697908,PB3 System Final Test,46894863,NLO Revision,2,None,None,None
38697908,PB3 System Final Test,46894863,PB3 Laser,N31123301454,None,None,None
38697908,PB3 System Final Test,46894863,AD5 Board serial number,F3117N043-01,None,None,None
38697908,PB3 System Final Test,46894863,AD5 Revision,6,None,None,None
38565475,PB3 Final Log,46593116,ReportText,(For),None,None,None
38565475,PB3 Final Log,46593117,ReportText,(For),None,None,None
38565475,PB3 Final Log,46593118,ReportText,(For),None,None,None
38565475,PB3 Final Log,46593119,ReportText,(For),None,None,None
38565475,PB3 Final Log,46593120,ReportText,(For),None,None,None
38697908,PB3 System Final Test,46894864,Output Power Laser,66.89,W,60,999
38697908,PB3 System Final Test,46894864,PRF,700,kHz,None,None
38697908,PB3 System Final Test,46894864,Average Power Gentec,71,W,60,999
38697908,PB3 System Final Test,46894864,PoD Divider,1,None,None,None
38697908,PB3 System Final Test,46894864,PoD relative power,100,%,None,None
38697908,PB3 System Final Test,46894865,M2 Y,1.08,None,-999,1.2
38697908,PB3 System Final Test,46894865,M2 X,1.1,None,-999,1.2
38697908,PB3 System Final Test,46894865,Divergence X,0.05,mrad,None,None
38697908,PB3 System Final Test,46894865,PRF,500,kHz,None,None
38697908,PB3 System Final Test,46894865,DeltaM2,0.02,mrad,None,None
38697908,PB3 System Final Test,46894865,Waist Width X,5016.41,um,None,None
38697908,PB3 System Final Test,46894865,Astigmatism,0.3,None,None,None
38697908,PB3 System Final Test,46894865,Waist Location Y,-884.53,mm,None,None
38697908,PB3 System Final Test,46894865,Average Power Gentec,65.47,W,55,999
