combined_hours,Date,Time,LD1_Warning,LD1_Fault,LD2_Warning,LD2_Fault,LD3_Warning,LD3_Fault,Filename
0.676606722817,02/15/2018,07:32:16 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
0.917381187242,02/15/2018,07:47:47 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
1.21911121228,02/15/2018,08:05:28 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
3.57809140805,02/15/2018,10:30:07 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
3.59942585426,02/15/2018,10:31:18 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
3.61771252245,02/15/2018,10:32:18 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
5.12026709158,02/15/2018,12:04:58 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
5.6383893568,02/15/2018,12:35:49 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
5.6475326909,02/15/2018,12:36:19 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
5.88830715532,02/15/2018,12:51:49 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
6.19613273642,02/15/2018,01:09:57 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
6.22965829476,02/15/2018,01:12:57 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
6.89102612742,02/15/2018,01:52:39 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
8.64654627311,02/15/2018,03:40:29 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
10.4294964211,02/15/2018,05:29:59 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
11.0756253636,02/15/2018,06:08:49 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
11.2005842628,02/15/2018,06:16:49 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
13.4803222298,02/15/2018,08:36:08 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
14.2331234034,02/15/2018,09:21:59 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
14.4495156436,02/15/2018,09:36:08 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
15.1078356982,02/15/2018,10:15:40 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
15.1169790323,02/15/2018,10:16:10 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
15.4674735058,02/15/2018,10:37:48 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
16.2324657915,02/15/2018,11:24:18 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
16.4701924779,02/15/2018,11:39:48 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
16.6164858234,02/15/2018,11:47:48 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
18.1068492804,02/16/2018,01:20:18 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
19.1248071427,02/16/2018,02:22:08 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
19.7800794193,02/16/2018,03:02:50 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
21.2734906543,02/16/2018,04:33:48 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
