combined_hours,Date,Time,LD1_Warning,LD1_Fault,LD2_Warning,LD2_Fault,LD3_Warning,LD3_Fault,Filename
0.0248249937669,02/08/2018,11:37:01 PM,Warnings=None. , Faults=,,,,,F3E21802109
0.834740415412,02/09/2018,12:25:13 AM,Warnings=None. , Faults=,,,,,F3E21802109
1.22263094302,02/09/2018,12:48:23 AM,Warnings=None. , Faults=,,,,,F3E21802109
1.7408526879,02/09/2018,01:19:43 AM,Warnings=None. , Faults=,,,,,F3E21802109
2.01082449512,02/09/2018,01:35:23 AM,Warnings=None. , Faults=,,,,,F3E21802109
2.87969927696,02/09/2018,02:27:53 AM,Warnings=None. , Faults=,,,,,F3E21802109
4.04026773556,02/09/2018,03:37:11 AM,Warnings=None. , Faults=,,,,,F3E21802109
4.06509272933,02/09/2018,03:38:33 AM,Warnings=None. , Faults=,,,,,F3E21802109
6.34278590744,02/09/2018,05:56:21 AM,Warnings=None. , Faults=,,,,,F3E21802109
7.15580445331,02/09/2018,06:44:43 AM,Warnings=None. , Faults=,,,,,F3E21802109
7.53438560825,02/09/2018,07:07:23 AM,Warnings=None. , Faults=,,,,,F3E21802109
8.55531347692,02/09/2018,08:08:02 AM,Warnings=None. , Faults=,,,,,F3E21802109
8.82838840835,02/09/2018,08:25:03 AM,Warnings=None. , Faults=,,,,,F3E21802109
10.7771504191,02/09/2018,10:21:24 AM,Warnings=None. , Faults=,,,,,F3E21802109
11.5436221016,02/09/2018,11:08:24 AM,Warnings=None. , Faults=,,,,,F3E21802109
14.879480639,02/09/2018,02:27:22 PM,Warnings=None. , Faults=,,,,,F3E21802109
15.9686772406,02/09/2018,03:49:20 PM,Warnings=None. , Faults=,,,,,F3E21802109
16.5241364761,02/09/2018,04:22:42 PM,Warnings=None. , Faults=,,,,,F3E21802109
18.0663892139,02/09/2018,05:55:12 PM,Warnings=None. , Faults=,,,,,F3E21802109
19.2238545482,02/09/2018,07:05:32 PM,Warnings=None. , Faults=,,,,,F3E21802109
20.5116510999,02/09/2018,08:22:52 PM,Warnings=None. , Faults=,,,,,F3E21802109
21.538785217,02/09/2018,09:23:52 PM,Warnings=None. , Faults=,,,,,F3E21802109
21.6691164343,02/09/2018,09:32:02 PM,Warnings=None. , Faults=,,,,,F3E21802109
22.0321819681,02/09/2018,09:53:50 PM,Warnings=None. , Faults=,,,,,F3E21802109
22.9476036133,02/09/2018,10:48:52 PM,Warnings=None. , Faults=,,,,,F3E21802109
23.0034598493,02/09/2018,10:51:51 PM,Warnings=None. , Faults=,,,,,F3E21802109
23.9530158608,02/09/2018,11:48:41 PM,Warnings=None. , Faults=,,,,,F3E21802109
24.1019658234,02/09/2018,11:57:51 PM,Warnings=None. , Faults=,,,,,F3E21802109
24.9056749966,02/10/2018,12:45:42 AM,Warnings=None. , Faults=,,,,,F3E21802109
25.5418154619,02/10/2018,01:24:32 AM,Warnings=None. , Faults=,,,,,F3E21802109
25.9421184864,02/10/2018,01:48:23 AM,Warnings=None. , Faults=,,,,,F3E21802109
26.7861682745,02/10/2018,02:38:21 AM,Warnings=None. , Faults=,,,,,F3E21802109
28.1049960684,02/10/2018,03:57:21 AM,Warnings=None. , Faults=,,,,,F3E21802109
28.6263209375,02/10/2018,04:28:51 AM,Warnings=None. , Faults=,,,,,F3E21802109
29.2903895207,02/10/2018,05:09:13 AM,Warnings=None. , Faults=,,,,,F3E21802109
29.5510519553,02/10/2018,05:24:23 AM,Warnings=None. , Faults=,,,,,F3E21802109
30.4230298613,02/10/2018,06:17:01 AM,Warnings=None. , Faults=,,,,,F3E21802109
32.3904106174,02/10/2018,08:14:23 AM,Warnings=None. , Faults=,,,,,F3E21802109
32.8962198654,02/10/2018,08:45:03 AM,Warnings=None. , Faults=,,,,,F3E21802109
33.3896166165,02/10/2018,09:15:02 AM,Warnings=None. , Faults=,,,,,F3E21802109
33.4237509829,02/10/2018,09:16:53 AM,Warnings=None. , Faults=,,,,,F3E21802109
33.5323603306,02/10/2018,09:23:53 AM,Warnings=None. , Faults=,,,,,F3E21802109
33.7775071441,02/10/2018,09:38:12 AM,Warnings=None. , Faults=,,,,,F3E21802109
35.3290692545,02/10/2018,11:10:52 AM,Warnings=None. , Faults=,,,,,F3E21802109
35.5773191922,02/10/2018,11:26:32 AM,Warnings=None. , Faults=,,,,,F3E21802109
37.0140657065,02/10/2018,12:51:52 PM,Warnings=None. , Faults=,,,,,F3E21802109
37.6626186686,02/10/2018,01:31:34 PM,Warnings=None. , Faults=,,,,,F3E21802109
37.9294873516,02/10/2018,01:47:14 PM,Warnings=None. , Faults=,,,,,F3E21802109
39.6082775551,02/10/2018,03:27:54 PM,Warnings=None. , Faults=,,,,,F3E21802109
42.1621487889,02/10/2018,06:01:22 PM,Warnings=None. , Faults=,,,,,F3E21802109
42.4321205961,02/10/2018,06:17:02 PM,Warnings=None. , Faults=,,,,,F3E21802109
