combined_hours,Date,Time,LD1_Warning,LD1_Fault,LD2_Warning,LD2_Fault,LD3_Warning,LD3_Fault,Filename
97.1188689379,07/25/2018,03:47:42 PM,Warnings=None. , Faults=master current to ground.,,,,,F3ES1807B20_MODULATION
97.1216667044,07/25/2018,03:47:52 PM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=master current to ground.,,,,,F3ES1807B20_MODULATION
97.1244644709,07/25/2018,03:48:02 PM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=master current to ground.,,,,,F3ES1807B20_MODULATION
2920.35624749,12/19/2018,07:46:00 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
2920.35904526,12/19/2018,07:46:10 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
2927.55210296,12/20/2018,02:54:39 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
3069.42684279,12/25/2018,11:47:40 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
3069.42964056,12/25/2018,11:47:50 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
3069.43243833,12/25/2018,11:47:59 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
3069.44083163,12/25/2018,11:48:28 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
3069.44922493,12/25/2018,11:48:59 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
3094.84455156,12/27/2018,01:02:01 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
3094.85294486,12/27/2018,01:02:31 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
3094.86973146,12/27/2018,01:03:32 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
3143.94535385,12/29/2018,01:47:15 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
3315.14908003,01/08/2019,09:43:51 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
3461.18689644,01/15/2019,05:51:57 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
3762.78892422,01/27/2019,05:19:07 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4043.72664855,02/21/2019,09:35:57 AM,Warnings=None. , Faults=master current to ground; slave current to ground.,,,,,F3ES1807B20_MODULATION
4043.72944631,02/21/2019,09:36:07 AM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=master current to ground; slave current to ground.,,,,,F3ES1807B20_MODULATION
4043.73224408,02/21/2019,09:36:17 AM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=master current to ground; slave current to ground.,,,,,F3ES1807B20_MODULATION
4043.73504185,02/21/2019,09:36:27 AM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=master current to ground; slave current to ground.,,,,,F3ES1807B20_MODULATION
4057.48046872,02/21/2019,11:27:33 PM,Warnings=None. , Faults=slave current to ground.,,,,,F3ES1807B20_MODULATION
4057.48326649,02/21/2019,11:27:43 PM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=slave current to ground.,,,,,F3ES1807B20_MODULATION
4057.48606425,02/21/2019,11:27:53 PM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=slave current to ground.,,,,,F3ES1807B20_MODULATION
4057.48886202,02/21/2019,11:28:03 PM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=slave current to ground.,,,,,F3ES1807B20_MODULATION
4057.49165979,02/21/2019,11:28:13 PM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=slave current to ground.,,,,,F3ES1807B20_MODULATION
4117.98216955,02/24/2019,11:39:32 AM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=master current to ground; slave current to ground.,,,,,F3ES1807B20_MODULATION
4117.98496731,02/24/2019,11:39:42 AM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=master current to ground; slave current to ground.,,,,,F3ES1807B20_MODULATION
4117.98776508,02/24/2019,11:39:52 AM,Warnings=master diode voltage sensed low; slave diode voltage sensed low. , Faults=master current to ground; slave current to ground.,,,,,F3ES1807B20_MODULATION
4194.11778964,02/27/2019,07:03:16 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4194.22690254,02/27/2019,07:09:46 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4194.36119533,02/27/2019,07:17:46 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4194.3639931,02/27/2019,07:17:56 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4194.3807797,02/27/2019,07:18:56 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4194.46471269,02/27/2019,07:23:56 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4194.46751046,02/27/2019,07:24:07 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4194.49548812,02/27/2019,07:25:46 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4194.50667919,02/27/2019,07:26:26 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4194.53185909,02/27/2019,07:27:56 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4194.59620772,02/27/2019,07:31:46 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4194.71371391,02/27/2019,07:38:46 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4194.75847818,02/27/2019,07:41:26 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4194.81443351,02/27/2019,07:44:44 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4194.88717544,02/27/2019,07:49:06 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4195.00188386,02/27/2019,07:56:06 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4195.02986153,02/27/2019,07:57:46 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4195.08022132,02/27/2019,08:00:47 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4195.24808732,02/27/2019,08:10:46 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4195.25648062,02/27/2019,08:11:15 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4195.26207615,02/27/2019,08:11:36 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4195.28445828,02/27/2019,08:12:56 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4195.37958234,02/27/2019,08:18:35 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4195.39636894,02/27/2019,08:19:36 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4195.5166729,02/27/2019,08:26:46 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4195.54465057,02/27/2019,08:28:26 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4195.55304387,02/27/2019,08:28:55 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4195.63697686,02/27/2019,08:33:55 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4196.02866417,02/27/2019,08:57:16 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4196.126586,02/27/2019,09:03:05 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4196.47910458,02/27/2019,09:24:05 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4196.7197125,02/27/2019,09:38:29 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4197.3380189,02/27/2019,10:15:36 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4197.34081667,02/27/2019,10:15:44 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4197.84161687,02/27/2019,10:45:36 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4197.9563253,02/27/2019,10:52:24 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4198.06264043,02/27/2019,10:58:46 PM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4198.30045058,02/27/2019,11:12:54 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4199.31324206,02/28/2019,12:13:16 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4199.52027678,02/28/2019,12:25:35 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4199.55944551,02/28/2019,12:27:55 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4199.58182764,02/28/2019,12:29:15 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4200.85481141,02/28/2019,01:45:16 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4200.87719354,02/28/2019,01:46:36 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4201.08143049,02/28/2019,01:58:46 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4202.09422197,02/28/2019,02:59:06 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4202.63419091,02/28/2019,03:31:16 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4202.69574177,02/28/2019,03:34:55 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4203.17136208,02/28/2019,04:03:24 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4203.26089061,02/28/2019,04:08:46 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4203.79526401,02/28/2019,04:40:37 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4204.71852696,02/28/2019,05:35:36 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4204.95913488,02/28/2019,05:49:55 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4205.89079113,02/28/2019,06:45:25 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4207.45474261,02/28/2019,08:19:56 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4207.95274505,02/28/2019,08:49:46 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4207.99471155,02/28/2019,08:52:16 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4208.01429591,02/28/2019,08:53:26 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4208.05066688,02/28/2019,08:55:37 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4208.06185794,02/28/2019,08:56:26 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4208.08703784,02/28/2019,08:57:56 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4208.08983561,02/28/2019,08:58:06 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4209.12500922,02/28/2019,09:59:46 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4209.28168414,02/28/2019,10:09:06 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4209.31525734,02/28/2019,10:11:07 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4209.77409105,02/28/2019,10:38:56 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4210.29447562,02/28/2019,11:09:57 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4210.45954384,02/28/2019,11:19:47 AM,Warnings=None. , Faults=,,,,,F3ES1807B20_MODULATION
4210.59383664,02/28/2019,11:27:46 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4210.76170263,02/28/2019,11:37:47 AM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
4211.72133654,02/28/2019,12:34:57 PM,Warnings=, Faults=None.,,,,,F3ES1807B20_MODULATION
