combined_hours,Date,Time,LD1_Warning,LD1_Fault,LD2_Warning,LD2_Fault,LD3_Warning,LD3_Fault,Filename
11.8509710727,11/26/2020,02:03:16 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02_MODULATION
172.544693928,12/03/2020,02:04:40 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
172.547471933,12/03/2020,02:04:49 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
181.792673933,12/03/2020,11:19:41 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
181.801007949,12/03/2020,11:20:09 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
330.613201672,12/09/2020,04:08:41 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
330.615979678,12/09/2020,04:08:51 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
330.621535689,12/09/2020,04:09:11 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
330.624313694,12/09/2020,04:09:20 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
330.646537737,12/09/2020,04:10:41 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
340.558461035,12/10/2020,02:05:32 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
340.569573056,12/10/2020,02:06:12 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
340.575129067,12/10/2020,02:06:29 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
340.611243138,12/10/2020,02:08:39 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
404.672047858,12/12/2020,06:12:09 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02_MODULATION
404.674825863,12/12/2020,06:12:27 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE02_MODULATION
