combined_hours,Date,Time,LD1_Warning,LD1_Fault,LD2_Warning,LD2_Fault,LD3_Warning,LD3_Fault,Filename
142.9033275,11/9/2020,12:31:59 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE03
302.213351175,11/16/2020,3:14:49 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE03
763.73672603,1/5/2021,7:30:41 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE03
1725.62250887,02/15/2021,03:08:20 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE03
1784.59348395,02/18/2021,01:55:04 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE03
1873.89621312,02/21/2021,07:03:37 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE03
1873.90736655,02/21/2021,07:04:17 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE03
2440.75258506,03/24/2021,05:08:10 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE03
2617.77983299,04/01/2021,01:35:07 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE03
3881.15957083,06/02/2021,04:33:00 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE03
4216.56274263,06/17/2021,08:30:00 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE03
4465.28702975,06/27/2021,05:43:34 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE03
4465.3232784,06/27/2021,05:45:45 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE03
4545.77854887,07/01/2021,02:04:38 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE03
4622.2102193,07/04/2021,06:14:49 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE03
